id,title,description,link,image_link,price,availability,condition,google_product_category
BTACDS19,The Black & Tan Appliquéd Clutch with Detachable Straps,"We have re-designed the appliquéd clutch to have detachable hardware so that this bag can be convertable into a clutch, a shoulder bag or a cross body bag. We have added brass hardware on the front and a soft detachable leather handle that can be adjusted in length depending on how you want to wear it. Our tan appliqued clutch uses a high quality black pv appliqué and brass hardware on the zipper pull. It is a great little piece that is neutral and can pair with any outfit for witty and chic flair. It's great also as a travel organizer or a poolside clutch. 9""T x 11""W.",https://havesomefuntoday.com/products/the-black-tan-appliqued-clutch-with-detachable-straps,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_5979.jpg?v=1574282639,82.00,in stock,new,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags 3032"
BSACDS19,The Black & Silver Appliqued Clutch with Detachable Straps,"We have re-designed the appliquéd clutch to have detachable hardware so that this bag can be convertable into a clutch, a shoulder bag or a cross body bag. We have added silver hardware and a soft detachable leather handle that can be adjusted in length depending on how you want to wear it. Our black appliqued clutch uses a high quality silver pv appliqué and silver hardware on the zipper pull. It is a great little piece that is neutral and can pair with any outfit for witty and chic flair. It's great also as a travel organizer or a poolside clutch. 9""T x 11""W.",https://havesomefuntoday.com/products/the-black-silver-appliqued-clutch-with-detachable-straps,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_5821.jpg?v=1574282363,82.00,in stock,new,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags 3032"
LMTDS19,The Luxe Market Tote with Detatchable Shoulder Strap,"Our Luxe Market Tote just got an update! We have added our high quality leather shoulder straps with detachable brass hardware to make this function better for the people who prefer a shoulder strap over a tote handle. Black &amp; Ivory Heavy Canvas Market Tote with Leather handles, brass grommets, and a leather embossed logo patch. The front of the bag is appliqued in high quality PV with our brand mantra. The bag measures: 13""W x 8"" D x 18"" T.",https://havesomefuntoday.com/products/the-luxe-market-tote-with-detatchable-shoulder-strap,https://cdn.shopify.com/s/files/1/0665/6537/products/191017-080439.jpg?v=1574276534,176.00,in stock,new,Luggage & Bags > Shopping Totes 5608
LWB1019,Luxe Black Wristlet,"Black Cotton Canvas wristlet with a brass grommet and hardware to attach our raw leather wristlet strap to the bag for hands free detail. The main feature of this bag is our black pv appliquéd detail on the front with our mantra ""Have Some Fun Today."" Our label is stitched on the outside center back. Roomy enough for phone, wallet, keys and more:) Spot clean only as needed.",https://havesomefuntoday.com/products/luxe-black-wristlet,https://cdn.shopify.com/s/files/1/0665/6537/products/191017-075143.jpg?v=1575387851,88.00,in stock,new,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags 3032"
LWI1019,Luxe Ivory Wristlet,"Ivory Cotton Canvas wristlet with a brass grommet and hardware to attach our raw leather wristlet strap to the bag for hands free detail. The main feature of this bag is our black pv appliquéd detail on the front with our mantra ""Have Some Fun Today"". Our label is stitched on the outside center back. Roomy enough for phone, wallet, keys and more:) Spot clean only as needed.",https://havesomefuntoday.com/products/luxe-ivory-wristlet,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_6345.jpg?v=1575405818,88.00,in stock,new,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags 3032"
BNLBP19,The Black Logo Mini Backpack,The black satin nylon mini backpack has adjustable logo straps to adjust the fit. Silver hardware and black industrial zippers for both the main storage space and the front zip pouch. Our HSFT crown logo patch is sewn onto the center front and there is also a top logo strap to carry it instead of wearing it over the shoulder of on your back. Lightweight and easy to spot clean.,https://havesomefuntoday.com/products/the-black-logo-mini-backpack,https://cdn.shopify.com/s/files/1/0665/6537/products/191017-081833.jpg?v=1574195986,112.00,in stock,new,Luggage & Bags > Backpacks 100
BNLFP19,The Black Logo Fanny Pack,Black satin nylon fanny pack with our adjustable logo tape and crown HSFT Logo patch sewn on the front. Bag has two black industrial zip closure pockets for easy access and storage. Bag can also be adjusted to wear as a cross body. Lightweight and easy to spot clean.,https://havesomefuntoday.com/products/the-black-logo-fanny-pack,https://cdn.shopify.com/s/files/1/0665/6537/products/191017-075754.jpg?v=1574195206,78.00,in stock,new,Luggage & Bags > Fanny Packs 104
MFRT19,Moroccan Tote - Special Addition,"The Moroccan Tote is handmade by artisans in Morocco, our new large classic french market basket is the perfect bag to take on holiday this year. Woven in Morocco with high quality  palm leaves. We've incorporated vegetable dyed leather shoulder straps, brass grommets and leather applique to make this a unique fashion statement no matter where you go! Dimensions: 14"" h X 20"" l. Materials: Dried Palm leaves, Vegetable Dyed Leather straps, brass grommets and black leather appliqué.",https://havesomefuntoday.com/products/moroccan-tote-special-addition,https://cdn.shopify.com/s/files/1/0665/6537/products/191015-121852.jpg?v=1571769120,120.00,in stock,new,Luggage & Bags > Shopping Totes 5608
WPB18,The Petal One Piece Swimsuit,You will really be making a statement and looking amazing while you do in our new one piece swimsuit with our original graphic on the front. In white or black this suit is ultra flattering on so many body types. *80%polyester 20%spandex. Model is 5'10 and is wearing a size small. *High quality stretch to allow freedom of movement while keeping everything in the right place. *Wash inside out at 40* C (max). *All Swimwear is nonrefundable due to hygienic purposes.,https://havesomefuntoday.com/products/the-petal-one-piece-swimsuit,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2554.JPG?v=1550447506,62.00,in stock,new,Apparel & Accessories > Clothing > Swimwear 211
WBB17,The Black One Piece Swimsuit,You will really be making a statement and looking amazing while you do in our new one piece swimsuit with our original graphic on the front. In white or black this suit is ultra flattering on so many body types. *80%polyester 20%spandex. Model is 5'10 and is wearing a size small. *High quality stretch to allow freedom of movement while keeping everything in the right place. *Wash inside out at 40* C (max). *All Swimwear is nonrefundable due to hygienic purposes.,https://havesomefuntoday.com/products/the-black-one-piece-swimsuit,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2539.JPG?v=1550840193,62.00,in stock,new,Apparel & Accessories > Clothing > Swimwear 211
WAB18,The Aubergine One Piece Swimsuit,You will really be making a statement and looking amazing while you do in our new one piece swimsuit with our original graphic on the front. In white or black this suit is ultra flattering on so many body types. *80%polyester 20%spandex. Model is 5'10 and is wearing a size small. *High quality stretch to allow freedom of movement while keeping everything in the right place. *Wash inside out at 40* C (max). *All Swimwear is nonrefundable due to hygienic purposes.,https://havesomefuntoday.com/products/the-aubergine-one-piece-swimsuit,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2592.JPG?v=1572135976,62.00,in stock,new,Apparel & Accessories > Clothing > Swimwear 211
